項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,31615,1428,152
主管及監督人員,55558,-,-
高階主管及總執行長,52855,-,-
行政及商業經理人員,67115,-,-
生產及專業服務經理人員,70887,-,-
採礦、製造及營造監督人員,41501,-,-
辦公室監督人員,48386,-,-
專業人員,42444,-,355
物理、化學及地球科學專業人員,48214,-,-
數學、精算及統計學專業人員,41576,-,-
生物、植物及動物學有關專業人員,41760,-,-
環境保護專業人員,60000,-,-
工業及生產工程師,40805,-,-
土木工程師,37608,-,-
環境工程師,37504,-,-
機械工程師,38463,-,-
化學工程師,39804,-,-
採礦工程師、冶金學及有關專業人員,40921,-,-
其他工程專業人員,39573,-,-
電機工程師,40339,-,-
電子工程師,44743,-,-
電信工程師,36450,-,-
建築師,33056,-,-
都市及交通規劃師,55000,-,-
測量師及製圖師,35605,-,-
設計師,35150,-,-
醫師等醫療專業人員,138136,-,-
護理及助產專業人員,37536,-,202
藥師,58198,-,399
環境及職業衛生專業人員,38738,-,1200
營養師,37764,-,-
未分類其他醫療保健專業人員,39335,-,-
其他教學專業人員,30244,-,337
財務專業人員,41106,-,-
行政專業人員,39249,-,-
行銷、公關及技術銷售專業人員,41360,-,-
軟體與應用程式開發人員及分析師,43203,-,140
資料庫及網路專業人員,41501,-,-
法律專業人員,48928,-,-
經濟學專業人員,35000,-,-
心理學專業人員,44662,-,-
作家、新聞記者及語言學專業人員,34720,-,-
其他創作及表演藝術人員,44307,-,-
技術員及助理專業人員,30064,1834,391
物理及化學技術員,39833,-,-
營建工程技術員,42643,-,-
電機工程技術員,33931,1103,-
電子工程技術員,30797,-,140
機械工程技術員,30558,1129,2500
化學工程技術員,32160,-,-
工業及生產技術員,28833,1447,143
製圖員,30023,834,-
其他工程科學技術員,29017,930,-
製程控制技術員,34265,2000,-
生命科學技術員及有關助理專業人員,34895,-,-
船舶、航空器監管及有關技術員,45619,-,-
醫學影像及治療設備技術員,32122,-,150
醫學及病理檢驗技術員,29617,-,-
藥學、醫學及牙科輔具技術員,32255,-,-
護理助理專業人員,27402,1094,200
牙醫助理人員及鑲牙生,25171,-,-
環境及職業衛生技術員,31148,1300,-
未分類其他醫療保健助理專業人員,30543,-,-
證券金融交易員及經紀人,35706,-,-
信用及貸款人員,36352,-,-
會計、統計、數學及精算助理專業人員,32033,-,140
保險代理人,34887,-,-
商業銷售代表,28648,1094,153
採購員,30112,-,140
買賣經紀人,31000,-,-
不動產經紀人,24737,-,-
其他企業支援服務代理人,29175,-,150
專業秘書,29950,-,-
法律及有關助理專業人員,36709,-,-
社會工作助理專業人員,31043,-,-
環境及職業衛生專業人員,26976,-,-
其他藝術、文化及烹飪有關助理專業人員,27212,-,140
資訊及通訊技術員,32924,-,141
廣播及視聽技術員,30435,-,-
電信工程技術員,28933,-,-
事務支援人員,27929,911,144
一般及文書事務員,26218,1094,147
銀行櫃員、收帳員及有關事務人員,33343,-,140
顧客資訊事務人員,27862,-,141
會計、統計及有關事務人員,26993,-,145
生產、運輸及有關事務人員,29559,1000,141
人事事務人員,27613,833,-
未分類其他事務支援人員,24930,-,149
服務及銷售工作人員,27271,1076,141
旅運服務及有關工作人員,31454,-,-
廚師,29053,1000,140
餐飲服務人員,27328,-,141
美髮、美容及造型設計有關工作人員,23908,-,-
建築物管理員,27549,-,-
其他個人服務工作人員,24127,-,-
銷售及展示工作人員,26189,1296,140
個人照顧工作人員,29585,-,151
保安服務工作人員,30061,-,151
技藝有關工作人員、機械設備操作及組裝人員,27893,1467,140
營建構造及有關工作人員,25710,1677,-
建築物修整及有關工作人員,38205,1397,-
油漆、建築物清潔及有關工作人員,24880,1100,-
金屬鑄模、焊接、板金及有關工作人員,30429,1751,-
鍛造、工具製造及有關工作人員,27862,1061,-
機械維修人員,28791,800,-
手工藝工作人員,26212,-,-
印刷及有關工作人員,26475,-,-
電力設備裝修人員,29822,2077,-
電子設備裝修人員,27140,-,-
食品製造及有關工作人員,25668,-,140
木材處理、家具木工及有關工作人員,23953,-,-
成衣及有關工作人員,27231,-,-
未分類其他技藝有關工作人員,28043,990,140
採礦及礦物處理設備操作人員,25220,-,-
金屬製造及表面處理設備操作人員,25445,1364,-
化學及照相產品機械操作人員,26404,-,-
橡膠、塑膠及紙製品機械操作人員,26176,1292,140
紡織品、毛皮及皮革製品機械操作人員,24352,900,140
食品及有關產品機械操作人員,24322,-,140
木材加工及造紙設備操作人員,29851,735,-
其他生產機械設備操作人員,25577,800,140
環境及職業衛生專業人員,25656,938,141
駕駛及有關工作人員,36660,1107,140
移運設備操作人員,29905,1836,-
基層技術工及勞力工,23948,1333,150
清潔工及幫工,23808,1289,158
採礦、營建、製造及運輸勞力工,23344,1339,143
街頭服務工,25000,-,-
廢棄物服務工及環境清掃工,25172,-,-
其他基層技術工及勞力工,25173,-,140
按員工規模分,,,
３００人　　以　上,35417,1083,142
１００人至２９９人,32459,1321,193
　３０人至　９９人,31703,1252,154
　２９人及　以　下,29092,1463,150
