項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,27947,1410,128
主管及監督人員,43147,2000,-
高階主管及總執行長,141942,-,-
行政及商業經理人員,57006,-,-
生產及專業服務經理人員,58988,-,-
餐旅、零售及其他場所服務經理人員,37600,-,-
採礦、製造及營造監督人員,36350,2000,-
辦公室監督人員,42807,-,-
專業人員,36870,2333,199
物理、化學及地球科學專業人員,31251,-,-
數學、精算及統計學專業人員,36132,-,-
生物、植物及動物學有關專業人員,37144,-,-
工業及生產工程師,34400,-,-
土木工程師,34134,-,-
環境工程師,30221,-,-
機械工程師,34063,-,-
化學工程師,35324,-,-
採礦工程師、冶金學及有關專業人員,36070,-,-
其他工程專業人員,42966,-,-
電機工程師,36633,2000,-
電子工程師,40148,-,-
電信工程師,35862,-,-
建築師,31148,-,-
都市及交通規劃師,40000,-,-
測量師及製圖師,35456,-,-
設計師,32338,-,-
醫師等醫療專業人員,58961,-,-
護理及助產專業人員,34368,-,135
藥師,37948,-,-
環境及職業衛生專業人員,35165,-,-
營養師,31181,-,-
未分類其他醫療保健專業人員,38204,-,175
其他教學專業人員,24203,-,200
財務專業人員,42276,-,-
行政專業人員,35988,-,-
行銷、公關及技術銷售專業人員,34079,-,-
軟體與應用程式開發人員及分析師,37298,5000,-
資料庫及網路專業人員,41733,-,-
法律專業人員,38844,-,-
經濟學專業人員,43185,-,-
心理學專業人員,39104,-,-
作家、新聞記者及語言學專業人員,29360,-,-
其他創作及表演藝術人員,31500,-,-
技術員及助 理專業人員,27329,1140,127
物理及化學技術員,26767,-,-
營建工程技術員,30050,-,-
電機工程技術員,25847,1453,-
電子工程技術員,25054,-,120
機械工程技術員,26497,1136,130
化學工程技術員,26837,1200,-
工業及生產技術員,26225,969,-
製圖員,26600,-,-
其他工程科學技術員,26890,1000,120
製程控制技術員,28207,-,-
生命科學技術員及有關助理專業人員,29296,-,-
船舶、航空器監管及有關技術員,123546,-,-
醫學影像及治療設備技術員,36196,-,-
醫學及病理檢驗技術員,31547,-,240
藥學、醫學及牙科輔具技術員,26798,-,-
護理助理專業人員,27658,-,143
牙醫助理人員及鑲牙生,22801,-,-
環境及職業衛生技術員,29443,1250,-
未分類其他醫療保健助理專業人員,26596,-,125
證券金融交易員及經紀人,31125,-,-
信用及貸款人員,31783,-,-
會計、統計、數學及精算助理專業人員,28754,-,-
財物及損失鑑價人員,35437,-,-
保險代理人,27525,-,-
商業銷售代表,27705,1000,126
採購員,29229,-,-
買賣經紀人,28000,-,-
不動產經紀人,22685,-,-
其他企業支援服務代理人,29467,-,-
專業秘書,31471,-,-
法律及有關助理專業人員,30670,-,-
社會工作助理專業人員,30000,-,-
運動及健身工作人員,24000,-,120
攝影師,25516,-,-
其他藝術、文化及烹飪有關助理專業人員,26667,-,-
資訊及通訊技術員,28447,1000,-
廣播及視聽技術員,25860,-,-
電信工程技術員,23686,-,-
事務支援人員,25311,918,123
一般及文書事務員,24578,850,123
銀行櫃員、收帳員及有關事務人員,27189,-,-
顧客資訊事務人員,25401,900,121
會計、統計及有關事務人員,23430,-,-
生產、運輸及有關事務人員,27361,967,124
人事事務人員,27278,-,125
未分類其他事務支援人員,23899,-,127
服務及銷售工作人員,24769,908,127
旅運服務及有關工作人員,32142,-,121
廚師,25828,900,123
餐飲服務人員,25530,-,133
美髮、美容及造型設計有關工作人員,21558,800,124
建築物管理員,26602,-,-
其他個人服務工作人員,24256,-,150
銷售及展示工作人員,24079,-,122
個人照顧工作人員,26241,1177,135
保安服務工作人員,26153,1050,129
技藝有關工作人員、 機械設備操作及組裝人員,24826,1568,127
營建構造及有關工作人員,22780,1570,-
建築物修整及有關工作人員,21951,2867,-
油漆、建築物清潔及有關工作人員,22456,1631,-
金屬鑄模、焊接、板金及有關工作人員,24712,2083,-
鍛造、工具製造及有關工作人員,22994,1448,-
機械維修人員,27171,1317,140
手工藝工作人員,25539,-,-
印刷及有關工作人員,25099,-,-
電力設備裝修人員,26937,1831,-
電子設備裝修人員,25829,-,-
食品製造及有關工作人員,22780,-,-
木材處理、家具木工及有關工作人員,22000,-,-
成衣及有關工作人員,23245,-,-
未分類其他技藝有關工作人員,30569,-,-
採礦及礦物處理設備操作人員,21366,1040,-
金屬製造及表面處理設備操作人員,23964,1513,-
化學及照相產品機械操作人員,24146,-,120
橡膠、塑膠及紙製品機械操作人員,23085,1040,120
紡織品、毛皮及皮革製品機械操作人員,23478,972,-
食品及有關產品機械操作人員,22059,-,121
木材加工及造紙設備操作人員,21672,-,-
其他生產機械設備操作人員,22597,710,127
組裝人員,22594,941,123
駕駛及有關工作人員,31774,1433,120
移運設備操作人員,28187,2172,-
船舶艙面水手及有關工作人員,32515,-,-
基層技術工及勞力工,22358,1206,131
清潔工及幫工,22110,1500,128
採礦、營建、製造及運輸勞力工,22384,1296,140
廢棄物服務工及環境清掃工,20781,-,-
其他基層技術工及勞力工,23071,1038,121
,,,
按員工規模分,,,
３ ０ ０ 人 　 　 以 　 上,31394,975,126
１ ０ ０ 人 至 ２ ９ ９ 人,27887,1060,121
　 ３ ０ 人 至 　 ９ ９ 人,27994,1430,125
　 ２ ９ 人 及 　 以 　 下,25839,1438,130
