項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,29986,1470,135
主管及監督人員,50876,-,-
高階主管及總執行長,109834,-,-
行政及商業經理人員,68316,-,-
生產及專業服務經理人員,61894,-,-
餐旅、零售及其他場所服務經理人員,42476,-,-
採礦、製造及營造監督人員,34856,-,-
辦公室監督人員,50199,-,-
專業人員,40988,1200,220
物理、化學及地球科學專業人員,37600,-,-
數學、精算及統計學專業人員,46550,-,-
生物、植物及動物學有關專業人員,40451,-,-
環境保護專業人員,33000,-,-
工業及生產工程師,39744,-,-
土木工程師,40840,-,-
環境工程師,33859,-,-
機械工程師,38845,-,-
化學工程師,38623,-,-
採礦工程師、冶金學及有關專業人員,39081,-,-
其他工程專業人員,37186,-,-
電機工程師,39590,-,-
電子工程師,45882,-,-
電信工程師,42324,-,-
建築師,40034,-,-
都市及交通規劃師,42000,-,-
測量師及製圖師,37552,-,-
設計師,35321,-,-
醫師等醫療專業人員,74883,-,-
護理及助產專業人員,34261,1200,176
藥師,47338,-,-
環境及職業衛生專業人員（屬顧問性質）,34394,-,-
營養師,33692,-,-
未分類其他醫療保健專業人員,41151,-,-
其他教學專業人員,27520,-,232
財務專業人員,49121,-,-
行政專業人員,39041,-,-
行銷、公關及技術銷售專業人員,41428,-,-
軟體與應用程式開發人員及分析師,42206,-,-
資料庫及網路專業人員,38750,-,-
法律專業人員,56978,-,-
心理學專業人員,32088,-,-
作家、新聞記者及語言學專業人員,32458,-,-
其他創作及表演藝術人員,39167,-,-
技術員及助理專業人員,29325,1066,156
物理及化學技術員,30361,-,-
營建工程技術員,33037,-,-
電機工程技術員,31950,900,-
電子工程技術員,28224,-,-
機械工程技術員,30390,1096,-
化學工程技術員,30659,-,-
工業及生產技術員,29975,1121,-
製圖員,29894,800,140
其他工程科學技術員,32602,1350,-
製程控制技術員,29728,-,-
生命科學技術員及有關助理專業人員,28519,-,-
船舶、航空器監管及有關技術員,45210,-,-
醫學影像及治療設備技術員,33525,-,176
醫學及病理檢驗技術員,33388,-,177
藥學、醫學及牙科輔具技術員,23598,-,133
護理助理專業人員,27075,-,-
牙醫助理人員及鑲牙生,26000,-,-
環境及職業衛生技術員,30282,800,160
未分類其他醫療保健助理專業人員,28343,-,-
證券金融交易員及經紀人,30143,-,-
信用及貸款人員,35484,-,-
會計、統計、數學及精算助理專業人員,32179,-,-
保險代理人,29434,-,-
商業銷售代表,28062,900,-
採購員,29093,1000,-
買賣經紀人,26727,-,-
不動產經紀人,28154,-,-
其他企業支援服務代理人,30592,-,170
專業秘書,31199,-,150
法律及有關助理專業人員,34233,-,-
社會工作助理專業人員,34806,-,-
運動及健身工作人員,23786,-,-
攝影師,32667,-,-
其他藝術、文化及烹飪有關助理專業人員,24601,-,-
資訊及通訊技術員,29483,-,150
廣播及視聽技術員,28902,-,-
電信工程技術員,29888,-,-
事務支援人員,26695,1188,143
一般及文書事務員,26039,1064,149
銀行櫃員、收帳員及有關事務人員,31293,-,-
顧客資訊事務人員,25889,-,136
會計、統計及有關事務人員,25990,-,-
生產、運輸及有關事務人員,27672,1211,136
人事事務人員,26269,-,133
未分類其他事務支援人員,24734,-,-
服務及銷售工作人員,27205,1186,134
旅運服務及有關工作人員,28289,-,133
廚師,33993,-,133
餐飲服務人員,27301,-,134
美髮、美容及造型設計有關工作人員,24482,-,-
建築物管理員,34280,-,-
其他個人服務工作人員,29743,-,-
銷售及展示工作人員,24917,1200,134
個人照顧工作人員,26018,-,156
保安服務工作人員,28393,1186,135
技藝有關工作人員、機械設備操作及組裝人員,26052,1545,134
營建構造及有關工作人員,26550,1924,-
建築物修整及有關工作人員,27563,1830,-
油漆、建築物清潔及有關工作人員,26985,-,-
金屬鑄模、焊接、板金及有關工作人員,26921,1755,133
鍛造、工具製造及有關工作人員,25888,1277,-
機械維修人員,28908,1008,138
手工藝工作人員,24670,-,-
印刷及有關工作人員,25240,779,133
電力設備裝修人員,26161,1482,-
電子設備裝修人員,24559,1180,-
食品製造及有關工作人員,25220,-,-
木材處理、家具木工及有關工作人員,21009,-,-
成衣及有關工作人員,22892,-,-
未分類其他技藝有關工作人員,25899,841,133
採礦及礦物處理設備操作人員,28471,-,-
金屬製造及表面處理設備操作人員,24768,1063,-
化學及照相產品機械操作人員,24718,-,-
橡膠、塑膠及紙製品機械操作人員,24988,895,-
紡織品、毛皮及皮革製品機械操作人員,24782,1200,133
食品及有關產品機械操作人員,24081,-,-
木材加工及造紙設備操作人員,24352,991,-
其他生產機械設備操作人員,23595,1247,133
組裝人員,23899,1202,134
駕駛及有關工作人員,35187,1469,133
移運設備操作人員,27160,700,-
基層技術工及勞力工,22915,1235,136
清潔工及幫工,22723,1200,134
採礦、營建、製造及運輸勞力工,22377,1239,138
廢棄物服務工及環境清掃工,23579,1100,-
其他基層技術工及勞力工,25469,1229,134
按員工規模分_３００人　　以　上,32269,862,136
按員工規模分_１００人至２９９人,30203,1014,133
按員工規模分_３０人至　９９人,30065,1445,137
按員工規模分_２９人及　以　下,28438,1501,135
