項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,28329,1370,127
主管及監督人員,50745,-,-
高階主管及總執行長,94488,-,-
行政及商業經理人員,57801,-,-
生產及專業服務經理人員,59721,-,-
採礦、製造及營造監督人員,40532,-,-
辦公室監督人員,47429,-,-
專業人員,38046,-,270
物理、化學及地球科學專業人員,36958,-,-
數學、精算及統計學專業人員,43691,-,-
生物、植物及動物學有關專業人員,51758,-,-
工業及生產工程師,35781,-,-
土木工程師,32369,-,-
環境工程師,34069,-,-
機械工程師,33403,-,-
化學工程師,34388,-,-
採礦工程師、冶金學及有關專業人員,36878,-,-
其他工程專業人員,43389,-,-
電機工程師 ,37338,-,-
電子工程師,43975,-,-
電信工程師,35876,-,-
建築師,29984,-,-
測量師及製圖師,29570,-,-
設計師,31348,-,-
醫師等醫療專業人員 ,78654,-,-
護理及助產專業人員,34513,-,130
藥師,47867,-,-
環境及職業衛生專業人員（屬顧問性質）,35813,-,-
營養師,30554,-,-
未分類其他醫療保健專業人員 ,36463,-,-
其他教學專業人員,27236,-,271
財務專業人員,47304,-,-
行政專業人員,34102,-,-
行銷、公關及技術銷售專業人員,34621,-,-
軟體與應用程式開發人員及分析師,38838,-,-
資料庫及網路專業人員,38373,-,-
法律專業人員,48444,-,-
心理學專業人員 ,36591,-,-
作家、新聞記者及語言學專業人員,34983,-,-
廣播、電視及其他媒體播報員,39000,-,-
其他創作及表演藝術人員 ,31441,-,-
技術員及助理專業人員,27823,1027,156
物理及化學技術員,27154,-,-
營建工程技術員,25291,-,-
電機工程技術員,28220,964,-
電子工程技術員,28670,-,-
機械工程技術員,27935,1251,-
化學工程技術員,25957,-,-
工業及生產技術員,26579,839,130
製圖員,29287,844,132
其他工程科學技術員,29637,1579,-
製程控制技術員,27301,1000,-
生命科學技術員及有關助理專業人員,28274,-,-
船舶、航空器監管及有關技術員,29139,-,-
醫學影像及治療設備技術員,35864,-,-
醫學及病理檢驗技術員,28286,-,-
護理助理專業人員,30166,-,185
牙醫助理人員及鑲牙生,23000,-,142
環境及職業衛生技術員,29523,-,-
未分類其他醫療保健助理專業人員 ,30510,-,-
證券金融交易員及經紀人,30577,-,-
信用及貸款人員,32930,-,-
會計、統計、數學及精算助理專業人員,30410,-,-
財物及損失鑑價人員,30044,-,-
保險代理人,28682,-,-
商業銷售代表,27458,1000,246
採購員,27216,-,126
買賣經紀人,22000,-,-
不動產經紀人,25235,-,-
其他企業支援服務代理人 ,27145,1000,-
專業秘書,33547,-,150
法律及有關助理專業人員,29071,-,-
社會工作助理專業人員,27537,-,-
運動及健身工作人員,28137,-,-
攝影師,25522,-,-
其他藝術、文化及烹飪有關助理專業人員,25081,-,-
資訊及通訊技術員,28734,-,120
廣播及視聽技術員,26601,-,-
電信工程技術員,26122,-,-
 事務支援人員 ,25374,789,124
一般及文書事務員,24843,-,129
銀行櫃員、收帳員及有關事務人員,31146,-,-
顧客資訊事務人員,25763,960,129
會計、統計及有關事務人員,23637,-,-
生產、運輸及有關事務人員,25842,780,123
人事事務人員,27087,656,132
未分類其他事務支援人員,26811,-,120
服務及銷售工作人員,24972,1167,124
旅運服務及有關工作人員,28792,-,122
廚師,29529,942,125
餐飲服務人員,24052,-,124
美髮、美容及造型設計有關工作人員,25140,-,-
建築物管理員,31564,-,-
其他個人服務工作人員,24307,-,-
銷售及展示工作人員,23731,960,124
個人照顧工作人員,23318,1377,133
保安服務工作人員,26484,1000,120
技藝有關工作人員、 機械設備操作及組裝人員,25338,1520,121
營建構造及有關工作人員,31594,2500,-
建築物修整及有關工作人員,24790,1825,120
油漆、建築物清潔及有關工作人員,29078,2000,120
金屬鑄模、焊接、板金及有關工作人員,27635,1363,-
鍛造、工具製造及有關工作人員,23988,943,122
機械維修人員,26600,1300,120
手工藝工作人員,23532,960,-
印刷及有關工作人員,22219,-,-
電力設備裝修人員,26128,1234,-
電子設備裝修人員,23402,-,-
食品製造及有關工作人員,23946,-,-
木材處理、家具木工及有關工作人員,23346,967,-
成衣及有關工作人員,23899,-,-
未分類其他技藝有關工作人員,23602,-,-
採礦及礦物處理設備操作人員,20732,1000,-
金屬製造及表面處理設備操作人員,22958,1103,130
化學及照相產品機械操作人員,25011,1110,-
橡膠、塑膠及紙製品機械操作人員,23945,1000,120
紡織品、毛皮及皮革製品機械操作人員,23547,1000,-
食品及有關產品機械操作人員,22171,-,120
木材加工及造紙設備操作人員,22965,1084,-
其他生產機械設備操作人員,23709,1110,126
組裝人員,23350,905,126
駕駛及有關工作人員 ,33578,1802,120
移運設備操作人員,26589,1400,120
基層技術工及勞力工,22589,1217,124
清潔工及幫工,22195,1000,123
採礦、營建、製造及運輸勞力工,22542,1284,121
廢棄物服務工及環境清掃工,28314,-,120
其他基層技術工及勞力工,24017,1183,125
按員工規模分_３００人　　以　上,31307,849,123
按員工規模分_１００人至２９９人,28345,1022,128
按員工規模分_３０人至　９９人,28367,1188,128
按員工規模分_２９人及　以　下,26512,1440,128
