項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,34248,1759,178
主管及監督人員,54832,2254,-
高階主管及總執行長,136527,-,-
行政及商業經理人員,74279,-,-
生產及專業服務經理人員,68992,-,-
餐旅、零售及其他場所服務經理人員,50119,-,-
採礦、製造及營造監督人員,47190,1500,-
辦公室監督人員,44114,2350,-
專業人員,45540,1321,513
物理、化學及地球科學專業人員,54323,-,-
數學、精算及統計學專業人員,44945,-,-
生物、植物及動物學有關專業人員,46403,-,-
環境保護專業人員,31800,-,-
工業及生產工程師,43699,950,-
土木工程師,44233,-,-
環境工程師,44361,-,-
機械工程師,42390,-,-
化學工程師,42886,-,-
採礦工程師、冶金學及有關專業人員,45263,-,-
其他工程專業人員,48579,-,-
電機工程師,40942,-,-
電子工程師,51937,-,-
電信工程師,40232,-,-
建築師,45052,-,-
都市及交通規劃師,37490,-,-
測量師及製圖師,36895,-,-
設計師,35267,-,-
醫師等醫療專業人員,97134,-,-
護理及助產專業人員,37639,-,228
藥師,56196,-,-
環境及職業衛生專業人員,41487,-,-
營養師,33311,-,-
未分類其他醫療保健專業人員,47725,-,-
其他教學專業人員,37131,-,541
財務專業人員,47249,-,-
行政專業人員,43393,-,-
行銷、公關及技術銷售專業人員,40429,-,-
軟體與應用程式開發人員及分析師,48986,-,-
資料庫及網路專業人員,42370,1600,-
法律專業人員,44641,-,-
經濟學專業人員,42221,-,-
心理學專業人員,39696,-,-
作家、新聞記者及語言學專業人員,30045,-,-
其他創作及表演藝術人員,44325,-,-
技術員及助理專業人員,33766,1833,177
物理及化學技術員,34379,-,-
營建工程技術員,37558,1997,-
電機工程技術員,33610,1778,168
電子工程技術員,32311,1017,-
機械工程技術員,33488,1609,-
化學工程技術員,31766,1411,-
工業及生產技術員,33009,925,173
製圖員,33764,-,168
其他工程科學技術員,33062,2291,-
製程控制技術員,33232,-,-
生命科學技術員及有關助理專業人員,33109,-,-
船舶、航空器監管及有關技術員,90676,-,-
醫學影像及治療設備技術員,36992,-,-
醫學及病理檢驗技術員,34249,-,177
藥學、醫學及牙科輔具技術員,27100,-,-
護理助理專業人員,31782,-,188
牙醫助理人員及鑲牙生,27705,-,-
環境及職業衛生技術員,35149,-,-
未分類其他醫療保健助理專業人員,29432,-,226
證券金融交易員及經紀人,44511,-,-
信用及貸款人員,40547,-,-
會計、統計、數學及精算助理專業人員,34084,-,-
財物及損失鑑價人員,35200,-,-
保險代理人,29240,-,-
商業銷售代表,33915,-,169
採購員,34914,2216,180
買賣經紀人,28400,-,-
不動產經紀人,31524,-,-
其他企業支援服務代理人,30828,-,-
專業秘書,31391,-,-
法律及有關助理專業人員,38411,-,-
社會工作助理專業人員,32638,-,-
運動及健身工作人員,34978,-,168
攝影師,30226,-,-
其他藝術、文化及烹飪有關助理專業人員,30838,-,168
資訊及通訊技術員,36659,-,170
廣播及視聽技術員,29975,-,-
電信工程技術員,31607,-,-
事務支援人員,30030,936,174
一般及文書事務員,29433,900,169
銀行櫃員、收帳員及有關事務人員,34977,-,-
顧客資訊事務人員,29196,-,182
會計、統計及有關事務人員,29510,-,171
生產、運輸及有關事務人員,30331,945,174
人事事務人員,30552,-,-
未分類其他事務支援人員,29495,-,168
服務及銷售工作人員,28787,1612,174
旅運服務及有關工作人員,28108,-,168
廚師,29678,1823,174
餐飲服務人員,27885,-,173
美髮、美容及造型設計有關工作人員,27837,-,168
建築物管理員,34853,-,-
其他個人服務工作人員,28688,-,500
銷售及展示工作人員,27461,1700,172
個人照顧工作人員,30644,-,180
保安服務工作人員,31929,1254,171
技藝有關工作人員、機械設備操作及組裝人員,30058,1787,180
營建構造及有關工作人員,33489,1932,168
建築物修整及有關工作人員,33081,1824,-
油漆、建築物清潔及有關工作人員,31972,2084,-
金屬鑄模、焊接、板金及有關工作人員,30553,1539,-
鍛造、工具製造及有關工作人員,28680,1800,185
機械維修人員,30342,1453,235
手工藝工作人員,25250,-,-
印刷及有關工作人員,28229,-,-
電力設備裝修人員,35432,1960,-
電子設備裝修人員,28954,-,-
食品製造及有關工作人員,29579,-,168
木材處理、家具木工及有關工作人員,30636,1500,-
成衣及有關工作人員,29442,-,-
未分類其他技藝有關工作人員,26985,-,168
採礦及礦物處理設備操作人員,32606,-,-
金屬製造及表面處理設備操作人員,28009,1430,-
化學及照相產品機械操作人員,27058,-,-
橡膠、塑膠及紙製品機械操作人員,27418,1344,170
紡織品、毛皮及皮革製品機械操作人員,28893,-,168
食品及有關產品機械操作人員,27523,1166,168
木材加工及造紙設備操作人員,28028,1110,-
其他生產機械設備操作人員,27933,991,169
組裝人員,27326,1281,186
駕駛及有關工作人員,38286,1066,183
移運設備操作人員,31935,1344,-
船舶艙面水手及有關工作人員,34183,-,-
基層技術工及勞力工,26704,1607,181
清潔工及幫工,25938,-,182
採礦、營建、製造及運輸勞力工,28075,1622,182
廢棄物服務工及環境清掃工,26052,-,-
其他基層技術工及勞力工,26965,1466,173
按員工規模分,,,
３００人　　以　上,36938,1177,171
１００人至２９９人,34401,1367,175
　３０人至　９９人,32840,1872,180
　２９人及　以　下,32190,1770,180
