項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,34829,1974,185
主管及監督人員,55834,-,-
高階主管及總執行長,65367,-,-
行政及商業經理人員,67806,-,-
生產及專業服務經理人員,69653,-,-
餐旅、零售及其他場所服務經理人員,51836,-,-
採礦、製造及營造監督人員,50737,-,-
辦公室監督人員,45930,-,-
專業人員,46587,3000,386
物理、化學及地球科學專業人員,79464,-,-
數學、精算及統計學專業人員,49081,-,-
生物、植物及動物學有關專業人員,45711,-,-
環境保護專業人員,34500,-,-
工業及生產工程師,45221,-,-
土木工程師,51103,-,-
環境工程師,39712,-,-
機械工程師,44753,3000,-
化學工程師,43893,-,-
其他工程專業人員,47133,-,-
"電機工程師
",48428,-,-
電子工程師,48170,-,-
電信工程師,49736,-,-
建築師,56002,-,-
都市及交通規劃師,45764,-,-
測量師及製圖師,39118,-,-
設計師,40081,-,-
醫師等醫療專業人員,94245,-,1000
護理及助產專業人員,40754,-,231
藥師,58739,-,-
環境及職業衛生專業人員,43794,-,-
營養師,34477,-,-
未分類其他醫療保健專業人員,42232,-,-
其他教學專業人員,37693,-,475
財務專業人員,52981,-,1000
行政專業人員,47504,-,250
行銷、公關及技術銷售專業人員,43522,-,176
軟體與應用程式開發人員及分析師,49954,-,-
資料庫及網路專業人員,44060,-,-
法律專業人員,51177,-,-
經濟學專業人員,56422,-,-
心理學專業人員,38714,-,-
作家、新聞記者及語言學專業人員,28621,-,-
廣播、電視及其他媒體播報員,23300,-,-
其他創作及表演藝術人員,32573,-,-
技術員及助理專業人員,34492,1623,181
物理及化學技術員,30238,-,-
營建工程技術員,39095,2000,176
電機工程技術員,34930,1624,176
電子工程技術員,32572,1000,182
機械工程技術員,33532,-,-
化學工程技術員,32262,-,-
工業及生產技術員,31643,-,-
製圖員,33483,-,-
其他工程科學技術員,33707,1500,190
製程控制技術員,34446,-,-
生命科學技術員及有關助理專業人員,35303,-,-
船舶、航空器監管及有關技術員,46150,-,-
醫學影像及治療設備技術員,40361,-,200
醫學及病理檢驗技術員,38329,-,-
藥學、醫學及牙科輔具技術員,30174,-,-
護理助理專業人員,34691,-,200
牙醫助理人員及鑲牙生,29449,-,-
環境及職業衛生技術員,34115,1700,-
未分類其他醫療保健助理專業人員,29732,-,192
證券金融交易員及經紀人,32292,-,-
信用及貸款人員,35752,-,-
會計、統計、數學及精算助理專業人員,37866,-,-
財物及損失鑑價人員,36007,-,-
保險代理人,35467,-,-
商業銷售代表,35333,-,176
採購員,34340,-,176
買賣經紀人,29540,-,-
不動產經紀人,42311,-,-
其他企業支援服務代理人,32305,-,176
專業秘書,35694,-,-
法律及有關助理專業人員,37816,-,-
社會工作助理專業人員,34671,-,-
運動及健身工作人員,31682,-,-
攝影師,32706,-,-
其他藝術、文化及烹飪有關助理專業人員,37175,-,176
資訊及通訊技術員,34460,910,178
廣播及視聽技術員,29026,-,176
電信工程技術員,34251,-,-
事務支援人員,30792,1344,192
一般及文書事務員,29521,-,180
銀行櫃員、收帳員及有關事務人員,36751,-,-
顧客資訊事務人員,29532,1344,217
會計、統計及有關事務人員,31642,-,177
生產、運輸及有關事務人員,31134,-,184
人事事務人員,32577,-,180
未分類其他事務支援人員,29375,-,193
服務及銷售工作人員,29415,1413,183
旅運服務及有關工作人員,33524,-,-
廚師,32085,-,184
餐飲服務人員,28860,-,182
美髮、美容及造型設計有關工作人員,27726,-,176
建築物管理員,39623,-,190
其他個人服務工作人員,30477,-,-
銷售及展示工作人員,28171,1486,178
個人照顧工作人員,30686,-,211
保安服務工作人員,32049,1325,200
技藝有關工作人員、機械設備操作及組裝人員,30344,2038,180
營建構造及有關工作人員,28890,2390,-
建築物修整及有關工作人員,32458,2270,-
油漆、建築物清潔及有關工作人員,28222,2501,190
金屬鑄模、焊接、板金及有關工作人員,31201,2405,-
鍛造、工具製造及有關工作人員,29482,1540,-
機械維修人員,30727,1600,190
手工藝工作人員,29090,-,-
印刷及有關工作人員,27495,-,200
電力設備裝修人員,34903,1984,-
電子設備裝修人員,30389,1680,-
食品製造及有關工作人員,26829,-,176
木材處理、家具木工及有關工作人員,29210,-,-
成衣及有關工作人員,28123,-,-
未分類其他技藝有關工作人員,26143,-,176
採礦及礦物處理設備操作人員,34040,1160,-
金屬製造及表面處理設備操作人員,27447,1556,176
化學及照相產品機械操作人員,28955,1200,-
橡膠、塑膠及紙製品機械操作人員,28521,-,-
紡織品、毛皮及皮革製品機械操作人員,27314,-,190
食品及有關產品機械操作人員,27381,-,-
木材加工及造紙設備操作人員,27717,-,-
其他生產機械設備操作人員,27730,1034,186
組裝人員,27617,-,180
駕駛及有關工作人員,37232,2645,183
移運設備操作人員,33414,1814,-
船舶艙面水手及有關工作人員,39585,-,-
基層技術工及勞力工,27172,1772,179
清潔工及幫工,26651,1827,182
採礦、營建、製造及運輸勞力工,28063,1772,183
廢棄物服務工及環境清掃工,26745,1500,183
其他基層技術工及勞力工,26472,1250,178
按員工規模分,,,
３００人　　以　上,38505,1009,178
１００人至２９９人,33920,1780,185
　３０人至　９９人,34120,1843,187
　２９人及　以　下,31563,2008,190
