項目別_金額_新臺幣元,按月計薪者每人每月平均最低薪資_金額_新臺幣元,按日計薪者每人每日平均最低薪資_金額_新臺幣元,按時計薪者每人每時平均最低薪資_金額_新臺幣元
總計,33554,1531,168
主管及監督人員,53240,-,-
高階主管及總執行長,120473,-,-
行政及商業經理人員,94240,-,-
生產及專業服務經理人員,76359,-,-
餐旅、零售及其他場所服務經理人員,83594,-,-
採礦、製造及營造監督人員,47223,-,-
辦公室監督人員,43123,-,-
專業人員,44770,-,487
物理、化學及地球科學專業人員,59470,-,-
數學、精算及統計學專業人員,42804,-,-
生物、植物及動物學有關專業人員,44356,-,-
環境保護專業人員,42000,-,-
工業及生產工程師,42693,-,-
土木工程師,43816,-,-
環境工程師,45414,-,-
機械工程師,41131,-,-
化學工程師,41131,-,-
採礦工程師、冶金學及有關專業人員,36000,-,-
其他工程專業人員,45556,-,-
電機工程師,41135,-,-
電子工程師,48166,-,-
電信工程師,37654,-,-
建築師,41053,-,-
都市及交通規劃師,37000,-,-
測量師及製圖師,40097,-,-
設計師,35207,-,-
醫師等醫療專業人員,76438,-,-
護理及助產專業人員,39885,-,190
藥師,54880,-,-
環境及職業衛生專業人員,38826,-,-
營養師,36647,-,-
未分類其他醫療保健專業人員,40845,-,-
其他教學專業人員,34831,-,522
財務專業人員,45162,-,-
行政專業人員,51261,-,-
行銷、公關及技術銷售專業人員,43155,-,-
軟體與應用程式開發人員及分析師,49674,-,195
資料庫及網路專業人員,39354,-,-
法律專業人員,45006,-,-
經濟學專業人員,45419,-,-
心理學專業人員,39444,-,-
作家、新聞記者及語言學專業人員,36457,-,-
廣播、電視及其他媒體播報員,47000,-,-
其他創作及表演藝術人員,38642,-,-
技術員及助理專業人員,32804,2053,221
物理及化學技術員,34738,-,-
營建工程技術員,41742,1540,-
電機工程技術員,34022,2117,-
電子工程技術員,32162,-,160
機械工程技術員,31697,1190,160
化學工程技術員,33127,-,160
工業及生產技術員,30920,1898,174
製圖員,33658,1000,165
其他工程科學技術員,32177,2624,160
製程控制技術員,32569,900,-
生命科學技術員及有關助理專業人員,34805,1400,-
船舶、航空器監管及有關技術員,63975,-,-
醫學影像及治療設備技術員,37329,-,230
醫學及病理檢驗技術員,34495,-,200
藥學、醫學及牙科輔具技術員,26000,-,-
護理助理專業人員,34411,1000,-
牙醫助理人員及鑲牙生,29720,-,170
環境及職業衛生技術員,31519,-,160
未分類其他醫療保健助理專業人員,31435,-,400
證券金融交易員及經紀人,34644,-,-
信用及貸款人員,34920,-,-
會計、統計、數學及精算助理專業人員,32683,-,160
財物及損失鑑價人員,30000,-,-
保險代理人,35649,-,-
商業銷售代表,32937,-,-
採購員,32382,-,186
買賣經紀人,27900,-,-
不動產經紀人,30762,-,-
其他企業支援服務代理人,30734,-,-
專業秘書,33212,-,-
法律及有關助理專業人員,35993,-,-
社會工作助理專業人員,32491,-,-
運動及健身工作人員,27864,-,-
攝影師,24918,-,-
其他藝術、文化及烹飪有關助理專業人員,28342,-,-
資訊及通訊技術員,34251,-,164
廣播及視聽技術員,30053,-,-
電信工程技術員,33160,-,-
事務支援人員,29150,1517,165
一般及文書事務員,28396,1527,164
銀行櫃員、收帳員及有關事務人員,36177,-,-
顧客資訊事務人員,27874,-,164
會計、統計及有關事務人員,29229,-,160
生產、運輸及有關事務人員,29136,900,169
人事事務人員,29343,-,-
未分類其他事務支援人員,29279,-,160
服務及銷售工作人員,28319,1026,164
旅運服務及有關工作人員,28080,-,160
廚師,29623,-,165
餐飲服務人員,27451,-,165
美髮、美容及造型設計有關工作人員,25417,-,179
建築物管理員,28719,-,-
其他個人服務工作人員,31307,-,-
銷售及展示工作人員,26701,1026,162
個人照顧工作人員,30014,-,179
保安服務工作人員,31831,-,161
技藝有關工作人員、機械設備操作及組裝人員,29229,1525,173
營建構造及有關工作人員,33405,1721,-
建築物修整及有關工作人員,32283,1677,-
油漆、建築物清潔及有關工作人員,31167,1000,-
金屬鑄模、焊接、板金及有關工作人員,30678,1718,165
鍛造、工具製造及有關工作人員,28100,1120,160
機械維修人員,29223,1784,165
手工藝工作人員,28000,-,-
印刷及有關工作人員,30034,-,-
電力設備裝修人員,31347,1541,-
電子設備裝修人員,29078,-,-
食品製造及有關工作人員,27907,-,161
木材處理、家具木工及有關工作人員,26628,-,-
成衣及有關工作人員,29543,-,160
未分類其他技藝有關工作人員,25917,800,-
採礦及礦物處理設備操作人員,29991,-,-
金屬製造及表面處理設備操作人員,26737,1220,160
化學及照相產品機械操作人員,28777,970,-
橡膠、塑膠及紙製品機械操作人員,28113,864,200
紡織品、毛皮及皮革製品機械操作人員,27803,-,160
食品及有關產品機械操作人員,26667,1300,175
木材加工及造紙設備操作人員,28021,-,-
其他生產機械設備操作人員,26703,1081,177
組裝人員,26450,1381,162
駕駛及有關工作人員,38702,1483,178
移運設備操作人員,36938,1762,160
船舶艙面水手及有關工作人員,60091,-,-
基層技術工及勞力工,25936,1332,177
清潔工及幫工,25391,1397,147
採礦、營建、製造及運輸勞力工,26458,1322,201
廢棄物服務工及環境清掃工,28086,1295,-
其他基層技術工及勞力工,26384,1500,166
按員工規模分,,,
３００人　　以　上,36706,1571,166
１００人至２９９人,33116,1247,175
　３０人至　９９人,32429,1674,170
　２９人及　以　下,31240,1518,166
