company_size,nominal_wage_2015,nominal_wage_2024,real_wage_2015,real_wage_2024,nominal_wage_change,real_wage_change
29人以下,25839,33282,27331.28834355828,30870.022260697504,28.805294322535712,12.947556195144628
300人以上,31394,39163,33207.10810239053,36324.82067771457,24.746766898133398,9.388690414446543
